Source	Target	Weight
687	836	1.0
687	1177	1.0
687	1185	1.0
687	1184	1.0
687	1183	1.0
687	1182	1.0
687	1181	1.0
89	687	1.0
687	1180	1.0
687	1179	1.0
687	1178	1.0
687	1176	1.0
687	1166	1.0
687	1175	1.0
687	1174	1.0
687	1173	1.0
307	687	1.0
687	1172	1.0
687	1171	1.0
687	1170	1.0
687	1169	1.0
687	1168	1.0
687	1186	1.0
687	1187	1.0
687	1188	1.0
687	1189	1.0
687	1205	1.0
687	1204	1.0
687	1203	1.0
687	1202	1.0
687	1201	1.0
8	687	1.0
687	1200	1.0
687	1199	1.0
687	1198	1.0
687	1197	1.0
687	1196	1.0
305	687	1.0
687	1195	1.0
687	1194	1.0
306	687	1.0
687	1193	1.0
687	1192	1.0
687	1191	1.0
687	1190	1.0
687	1167	1.0
687	1165	1.0
687	947	1.0
687	1136	1.0
309	687	1.0
687	1143	1.0
687	1142	1.0
687	1141	1.0
687	1140	1.0
687	1139	1.0
310	687	1.0
687	1138	1.0
687	1137	1.0
9	687	1.0
687	1164	1.0
687	1135	1.0
687	1134	1.0
687	1133	1.0
687	1132	1.0
687	1131	1.0
687	1130	1.0
687	1129	1.0
687	1128	1.0
687	1127	1.0
687	1144	1.0
308	687	1.0
687	1145	1.0
687	1146	1.0
687	1163	1.0
687	1162	1.0
687	1161	1.0
687	1160	1.0
687	1159	1.0
687	1158	1.0
687	1157	1.0
687	1156	1.0
687	1155	1.0
687	1154	1.0
687	1153	1.0
687	1152	1.0
196	687	1.0
687	1151	1.0
50	687	1.0
687	1150	1.0
687	1149	1.0
687	1148	1.0
687	1147	1.0
687	1206	1.0
687	1207	1.0
687	1208	1.0
687	1261	1.0
687	1269	1.0
687	1268	1.0
687	1267	1.0
687	1266	1.0
687	1265	1.0
687	1264	1.0
687	1263	1.0
303	687	1.0
687	1262	1.0
687	1260	1.0
687	1209	1.0
687	1259	1.0
687	1258	1.0
687	1257	1.0
687	1256	1.0
687	1255	1.0
687	1254	1.0
687	1253	1.0
687	1252	1.0
304	687	1.0
687	1270	1.0
687	1271	1.0
687	1272	1.0
687	1273	1.0
687	1291	1.0
687	1290	1.0
687	1289	1.0
687	1288	1.0
687	1287	1.0
687	1286	1.0
687	1285	1.0
687	1284	1.0
687	1283	1.0
687	1282	1.0
687	1281	1.0
687	1280	1.0
687	1279	1.0
687	1278	1.0
687	1277	1.0
687	1276	1.0
687	1275	1.0
197	687	1.0
687	1274	1.0
687	1251	1.0
687	1250	1.0
687	1249	1.0
687	1227	1.0
51	687	1.0
687	1225	1.0
687	1224	1.0
687	1223	1.0
687	1222	1.0
687	1221	1.0
111	687	1.0
687	1220	1.0
687	1219	1.0
687	1218	1.0
687	1217	1.0
687	1216	1.0
687	1215	1.0
143	687	1.0
687	1214	1.0
687	1213	1.0
687	1212	1.0
687	1211	1.0
687	1210	1.0
687	1226	1.0
687	1228	1.0
687	1248	1.0
687	1229	1.0
687	1247	1.0
687	1246	1.0
687	1245	1.0
687	1244	1.0
687	1243	1.0
687	1242	1.0
687	1241	1.0
687	1240	1.0
687	1239	1.0
687	1238	1.0
687	1237	1.0
687	1236	1.0
76	687	1.0
687	1235	1.0
687	1234	1.0
687	1233	1.0
687	1232	1.0
687	1231	1.0
687	1230	1.0
687	1126	1.0
687	1125	1.0
687	1124	1.0
687	1002	1.0
687	1011	1.0
687	1010	1.0
687	1009	1.0
687	1008	1.0
687	1007	1.0
687	1006	1.0
687	1005	1.0
687	1004	1.0
687	1003	1.0
687	1001	1.0
687	1034	1.0
687	1000	1.0
