Source	Target	Weight
604	1361	0.9999999738107812
1170	1171	0.9975308725654178
1538	1540	0.989922733708716
1162	1509	0.9891796092460008
130	140	0.9875685480494172
472	688	0.9866427501699436
492	493	0.9758430561341552
1832	1833	0.9720050055581492
53	1096	0.953354380608218
1153	1155	0.9498872150895884
517	528	0.9472223010395628
75	150	0.946364634360334
2284	2312	0.9435980310345432
2307	2308	0.9415607183868544
2215	2216	0.9407083830293044
940	961	0.9400297265480392
1274	1275	0.9398746427877896
555	640	0.9397811052643764
278	1426	0.9390549555893504
527	665	0.9366736675056224
933	961	0.9338206340645118
933	936	0.9315428415373408
1278	1280	0.9308524831875734
665	933	0.929381086584587
1274	1277	0.9286642873587032
1936	1962	0.9263790052668744
665	2690	0.924763654529343
1112	2690	0.9245256345368148
933	954	0.9243788464516108
933	1558	0.9223476096575516
665	1007	0.9217407168226708
665	954	0.9208058955718889
665	1112	0.9207602433974722
2286	2300	0.9176820520657988
954	1112	0.917577009470265
2838	2908	0.916757466275546
936	954	0.9165352096502904
665	1558	0.9162318631245286
2312	2690	0.9158862091743968
665	936	0.915880691008495
961	1558	0.914863307810234
1493	2250	0.9126866521624862
482	1042	0.9125277078599406
933	940	0.9124896038177518
321	2080	0.9121873660028748
2314	2571	0.9120601423520036
812	1749	0.9106013366381543
665	1864	0.9103335082269004
1275	1277	0.910135660051116
933	1112	0.909915814208592
300	837	0.9091103714799512
284	2324	0.9088404960394312
578	2838	0.9085339576171104
227	2706	0.9082700627141964
375	961	0.9079529061444938
1808	1836	0.9076641521004504
1348	1357	0.906852311610266
1155	1159	0.9064556160034136
527	1558	0.9061433642357568
1069	2250	0.9044281108752844
927	2706	0.9044239643239572
227	910	0.903326897558
1811	1903	0.9028660233318536
1785	2432	0.9027957034467186
665	940	0.902637057183694
2780	2792	0.9025457471323676
665	1096	0.9019571360680964
578	2908	0.9019472184813708
527	933	0.9015782456906388
1112	1558	0.901510229540137
1353	2286	0.9005746628947857
2092	2093	0.9004825771079434
1744	1803	0.9004528831006751
1493	2403	0.8999048838822206
933	1007	0.89982437629064
954	961	0.8993444286595381
276	1126	0.8993203155201474
375	933	0.8991311277350394
936	961	0.8983536928422352
954	2690	0.8981686381939389
1112	2742	0.8972546995462954
940	1558	0.8970961105537119
1582	2908	0.8963693868337042
517	665	0.8962051216696153
936	1558	0.8961999355911567
1022	1486	0.8961102697877951
940	1007	0.8960727582983498
954	2347	0.895667085086347
1112	2312	0.8954997485425095
2780	2799	0.8954898149369197
1007	1558	0.8950233644976826
227	927	0.8949835727946853
936	1112	0.8949153253885983
2698	2701	0.8947828319609522
665	1852	0.8941584134493172
910	2706	0.8941336010922009
364	1126	0.8940683644498124
939	961	0.8939719278202085
100	1069	0.8938207501186081
1069	1493	0.8937434832599511
567	1486	0.8936243710876096
954	1007	0.8936025152545987
1864	2690	0.8935860756993688
825	2668	0.8933333356532566
1096	2690	0.8932682188928863
898	899	0.8932549839756403
486	2931	0.8928999467636979
665	2312	0.8928360038670008
1096	1112	0.8927264684260233
1558	2690	0.8922268996664696
302	954	0.89192196768007
665	961	0.8918932657625549
763	1551	0.8918586680723729
1004	2691	0.8918306177495915
1353	2300	0.8917430361291262
1153	1159	0.8914344905610084
1292	2388	0.8908777394506938
2690	2742	0.8908130409819255
1112	2347	0.8906915545479308
933	1096	0.8905900219761909
936	940	0.8905474027547613
375	1558	0.8904613178117864
796	1292	0.8904210942816279
940	954	0.8903645390038225
367	2571	0.8901340824983888
1004	1528	0.8900052774283708
