"ID	label	sector"
"0	AA	MetalsMining"
"1	AACG	DiversifiedConsumerServices"
"2	AAIC	MortgageRealEstateInvestmentTrust"
"3	AAL	Airlines"
"4	AAME	Insurance"
"5	AAON	BuildingProducts"
"6	AAP	SpecialtyRetail"
"7	AAPL	TechnologyHardwareStoragePeriph"
"8	AATC	ScientificTechnicalInstruments"
"9	AAU	MetalsMining"
"10	AAWW	AirFreightLogistics"
"11	AB	CapitalMarkets"
"12	ABB	ElectricalEquipment"
"13	ABC	HealthCareProvidersServices"
"14	ABCB	Banks"
"15	ABEO	Biotechnology"
"16	ABEV	Beverages"
"17	ABG	SpecialtyRetail"
"18	ABIO	Biotechnology"
"19	ABM	CommercialServicesSupplies"
"20	ABMD	HealthCareEquipmentSupplies"
"21	ABR	MortgageRealEstateInvestmentTrust"
"22	ABST	SoftwareApplication"
"23	ABT	HealthCareEquipmentSupplies"
"24	ABUS	Biotechnology"
"25	ABVC	Biotechnology"
"26	ACAD	Biotechnology"
"27	ACC	BuildingProducts"
"28	ACCO	CommercialServicesSupplies"
"29	ACER	Pharmaceuticals"
"30	ACGL	Insurance"
"31	ACH	MetalsMining"
"32	ACHC	HealthCareProvidersServices"
"33	ACHV	Biotechnology"
"34	ACIW	Software"
"35	ACLS	SemiconductorsSemiconductorEquipment"
"36	ACM	ConstructionEngineering"
"37	ACN	ITServices"
"38	ACNB	Banks"
"39	ACOR	Biotechnology"
"40	ACR	MortgageRealEstateInvestmentTrust"
"41	ACTG	ProfessionalServices"
"42	ACU	CommercialServicesSupplies"
"43	ADBE	Software"
"44	ADC	EquityRealEstateInvestmentTrusts"
"45	ADES	Chemicals"
"46	ADI	SemiconductorsSemiconductorEquipment"
"47	ADM	FoodProducts"
"48	ADMP	Pharmaceuticals"
"49	ADP	ITServices"
"50	ADSK	Software"
"51	ADTN	CommunicationsEquipment"
"52	ADUS	HealthCareProvidersServices"
"53	ADX	ETF"
"54	AE	OilGasConsumableFuels"
"55	AEE	MultiUtilities"
"56	AEF	ETF"
"57	AEG	Insurance"
"58	AEHL	BuildingProductsEquipment"
"59	AEHR	SemiconductorsSemiconductorEquipment"
"60	AEIS	SemiconductorsSemiconductorEquipment"
"61	AEL	Insurance"
"62	AEM	MetalsMining"
"63	AEMD	HealthCareEquipmentSupplies"
"64	AEO	SpecialtyRetail"
"65	AEP	ElectricUtilities"
"66	AER	TradingCompaniesDistributors"
"67	AES	IndependentPowerandRenewableElect"
"68	AEY	ElectronicEquipmentInstrumentsC"
"69	AEZS	Biotechnology"
"70	AFB	ETF"
"71	AFG	Insurance"
"72	AFL	Insurance"
"73	AG	MetalsMining"
"74	AGCO	Machinery"
"75	AGD	ETF"
"76	AGEN	Biotechnology"
"77	AGI	MetalsMining"
"78	AGM	ThriftsMortgageFinance"
"79	AGNC	MortgageRealEstateInvestmentTrust"
"80	AGO	Insurance"
"81	AGX	ConstructionEngineering"
"82	AGYS	Software"
"83	AHPI	HealthCareEquipmentSupplies"
"84	AHT	EquityRealEstateInvestmentTrusts"
"85	AIG	Insurance"
"86	AIKI	Biotechnology"
"87	AIM	Biotechnology"
"88	AIMC	Machinery"
"89	AIN	Machinery"
"90	AINV	ETF"
"91	AIR	AerospaceDefense"
"92	AIRI	AerospaceDefense"
"93	AIRT	AirFreightLogistics"
"94	AIT	TradingCompaniesDistributors"
"95	AIV	EquityRealEstateInvestmentTrusts"
"96	AIZ	Insurance"
"97	AJG	Insurance"
"98	AJRD	AerospaceDefense"
"99	AKAM	ITServices"
"100	AKR	EquityRealEstateInvestmentTrusts"
"101	ALB	Chemicals"
"102	ALBO	Biotechnology"
"103	ALCO	FoodProducts"
"104	ALE	ElectricUtilities"
"105	ALG	Machinery"
"106	ALGN	HealthCareEquipmentSupplies"
"107	ALGT	Airlines"
"108	ALJJ	ETF"
"109	ALK	Airlines"
"110	ALKS	Biotechnology"
"111	ALLT	Software"
"112	ALNY	Biotechnology"
"113	ALOT	TechnologyHardwareStoragePeriph"
"114	ALRS	DiversifiedFinancialServices"
"115	ALTO	OilGasConsumableFuels"
"116	ALV	AutoComponents"
"117	ALX	EquityRealEstateInvestmentTrusts"
"118	ALYA	ITServices"
"119	AMAT	SemiconductorsSemiconductorEquipment"
"120	AMD	SemiconductorsSemiconductorEquipment"
"121	AME	ElectricalEquipment"
"122	AMED	HealthCareProvidersServices"
"123	AMEH	HealthCareProvidersServices"
"124	AMG	CapitalMarkets"
"125	AMGN	Biotechnology"
"126	AMKR	SemiconductorsSemiconductorEquipment"
"127	AMN	HealthCareProvidersServices"
"128	AMNB	Banks"
"129	AMOT	ElectricalEquipment"
"130	AMOV	WirelessTelecommunicationServices"
"131	AMP	CapitalMarkets"
"132	AMRN	Biotechnology"
"133	AMS	HealthCareProvidersServices"
"134	AMSC	ElectricalEquipment"
"135	AMSF	Insurance"
"136	AMSWA	Software"
"137	AMT	EquityRealEstateInvestmentTrusts"
"138	AMTX	OilGasConsumableFuels"
"139	AMWD	BuildingProducts"
"140	AMX	WirelessTelecommunicationServices"
"141	AMZN	InternetDirectMarketingRetail"
"142	ANDE	FoodStaplesRetailing"
"143	ANF	SpecialtyRetail"
"144	ANGO	HealthCareEquipmentSupplies"
"145	ANIK	Biotechnology"
"146	ANIP	Pharmaceuticals"
"147	ANIX	Biotechnology"
"148	ANSS	Software"
"149	ANTE	Media"
"150	AOD	ETF"
"151	AON	Insurance"
"152	AOS	BuildingProducts"
"153	AP	MetalsMining"
"154	APA	OilGasConsumableFuels"
"155	APD	Chemicals"
"156	APDN	ElectronicEquipmentInstrumentsC"
"157	APEI	DiversifiedConsumerServices"
"158	APEN	HealthCareEquipmentSupplies"
"159	APH	ElectronicEquipmentInstrumentsC"
"160	APOG	BuildingProducts"
"161	APPS	Software"
"162	APT	BuildingProducts"
"163	APTO	Biotechnology"
"164	APWC	ElectricalEquipment"
"165	AQN	MultiUtilities"
"166	ARAY	HealthCareEquipmentSupplies"
"167	ARC	CommercialServicesSupplies"
"168	ARCB	RoadRail"
